Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,1UF,C_0402_1005Metric,107.1125,-83.2,180,top
C2,220UF,C_1206_3216Metric,100,-64.4,90,top
C3,100NF,C_0402_1005Metric,106.375,-63.6,180,top
C4,100NF,C_0402_1005Metric,107.375,-61.375,180,top
C5,1UF,C_0402_1005Metric,114.328,-60.96,0,top
C6,1UF,C_0402_1005Metric,112.025,-62.075,-90,top
C7,22UF,C_1206_3216Metric,104.55,-66.775,-90,top
C8,15PF,C_0402_1005Metric,108.95,-63.155,-90,top
C9,220UF,C_1206_3216Metric,119.839,-62.484,0,top
C10,22UF,C_1206_3216Metric,107.1,-67.55,-90,top
C11,100NF,C_0402_1005Metric,119.2,-76.2,0,top
C12,22UF,C_0805_2012Metric,118.95,-78.2,0,top
C13,1UF,C_0402_1005Metric,109.8325,-77.65,180,top
C14,1UF,C_0402_1005Metric,108,-76.05,180,top
C15,220UF,C_1206_3216Metric,121.5,-81,0,top
D1,LED_RED,LED_0805_2012Metric,101.3575,-82.3125,90,top
D2,LED_BLUE,LED_0805_2012Metric,104.6325,-82.3125,90,top
L1,15NH,L_0402_1005Metric,109.735,-61.375,0,top
Q1,2N3904S,2N3904S,110.1825,-81.4,0,top
R1,1K,R_0402_1005Metric,109.5325,-83.75,0,top
R2,10K,R_0402_1005Metric,113.1825,-81.65,-90,top
R3,10K,R_0402_1005Metric,107.5825,-80.89,90,top
R4,1K,R_0402_1005Metric,80.2,-79,90,top
R5,1K,R_0402_1005Metric,85.2,-78.91,90,top
R6,1K,R_0402_1005Metric,90.2,-78.9,90,top
R7,0R,R_0805_2012Metric,92.65,-79.05,180,top
R9,470R,R_0603_1608Metric,101.3325,-78.9,-90,top
R10,75R,R_0603_1608Metric,104.6325,-78.9,90,top
R11,100K,R_0402_1005Metric,109.05,-67.175,90,top
R12,100K,R_0402_1005Metric,109.55,-68.875,180,top
R13,2.2K,R_0402_1005Metric,107.15,-62.425,180,top
R14,10K,R_0603_1608Metric,116.078,-62.801,-90,top
R15,10K,R_0603_1608Metric,113.325,-63.15,-90,top
R16,10K,R_0402_1005Metric,112.99,-65.825,0,top
R17,10K,R_0603_1608Metric,115.975,-65.175,180,top
R18,10K,R_0402_1005Metric,111.45,-74.3,0,top
R19,10K,R_0603_1608Metric,115.575,-75.825,0,top
R20,10K,R_0603_1608Metric,114,-78,0,top
R21,10K,R_0603_1608Metric,110.75,-75.9,0,top
SW1,TS-1088R-02026,TS-1088R,78,-81,90,top
SW2,TS-1088R-02026,TS-1088R,83,-81,90,top
SW3,TS-1088R-02026,TS-1088R,88,-81,90,top
U2,SGM358YS/TR,SOIC-8_3.9x4.9mm_P1.27mm,115.45,-70.8,-180,top
