Designator,Quantity,Value,Footprint,JLCPCB Part #
"C1, C5, C6, C13, C14, ",5,1UF,0402,C52923
"C2, C9, C15, ",3,220UF,1206,C412252
"C3, C4, C11, ",3,100NF,0402,C307331
"C7, C10, ",2,22UF,1206,C12891
"C8, ",1,15PF,0402,C1548
"C12, ",1,22UF,0805,C45783
"D1, ",1,LED_RED,0805,C130114
"D2, ",1,LED_BLUE,0805,C84259
"L1, ",1,15NH,0402,C27143
"Q1, ",1,2N3904S,2N3904S:2N3904S,C18536
"R1, R4, R5, R6, ",4,1K,0402,C11702
"R2, R3, R16, R18, ",4,10K,0402,C25744
"R7, ",1,0R,0805,C17477
"R9, ",1,470R,0603,C23179
"R10, ",1,75R,0603,C4275
"R11, R12, ",2,100K,0402,C25741
"R13, ",1,2.2K,0402,C25879
"R14, R15, R17, R19, R20, R21, ",6,10K,0603,C25804
"SW1, SW2, SW3, ",3,TS-1088R-02026,TS-1088R:TS-1088R,C455280
"U2, ",1,SGM358YS/TR,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C12399
